Title,JobDescription,JobRequirment,RequiredQual,IT
Short-Term Travel Grants (STG) Program,,,,False
Non-paid part or full time Administrative Intern,,,,False
Chief of Party (COP),"ISC seeks an experienced and creative Chief of Party
(COP) to direct a multi-component project in Uzbekistan, Tajikistan and
Kyrgyzstan that will promote organizational strengthening and improve
the technical capabilities of water users associations (WUAs) to bring
economic and environmental benefits to rural citizens. The COP will
oversee programs that provide grants, technical assistance, and
institutional development training; and a small infrastructure
improvements program. Coordination with other USAID project activities
will be an important aspect of the project as will the development of
agricultural-related functions for the WUAs, and will be designed so as
to maximize agribusiness assistance for WUAs and their members.",,"- Masters degree with minimum of seven years of senior project
management experience with nonprofit organizations in an international
setting; and three years of experience as chief of party managing not
less than ten staff persons;
- Experience with development of water user associations, NGO
strengthening programs, and USAID funded projects;
- Excellent ability to represent the project to donors and partners;
- Proven ability to direct all aspects of office operations, grant and
contract administration, procurement, and financial and personnel
management;
- Demonstrated diplomacy, team-orientation management, and ability to
develop and maintain collaborative, team relationships in a fast-paced
work environment;
- Excellent written and oral communications skills, and working
knowledge of computer word-processing, spreadsheet programs, and e-mail.
PREFERRED QUALIFICATIONS:  
- Previous experience in Central Asia and NIS;
- Knowledge of Russian language is a plus.",False
"Community Development, Capacity Building and Conflict","Food Security Regional Cooperation and Stability
Programme in South Caucasus (FRCS) is seeking applications for the
position of Community Development, Capacity Building and Conflict
Management Consultant.","- Assist the Tavush Marz communities and community unions in developing
and strengthening their capacities and structures of local self
governance;
- Identify impacts and further needs for capacity building measures at
local level including civil society actors;
- Conduct surveys, analysis and monitoring of local conflict and make
necessary recommendations;
- Organize meetings, discussions and prepare reports (in the Armenian,
Russian and English languages).","- Higher Education and/or professional experience in economics,
community development or a related field;
- Fluent knowledge of the Armenian, Russian and English languages
(written and oral) is compulsory;
- Sufficient capabilities in carrying out sector analysis, providing
consultancies and drafting documents;
- Computer skills MS Office 2000 (compulsory);
- Personal initiative as well as ability and willing to work as a team
member;
- Very good communication skills;
- Work experience in or with international organizations (preferable);
-  Ability and willing to work overtime and under time pressure as well
as frequent travels.",False
General Manager,,"- Manage and control the company's activities in Armenia;
- Suggest, Modify and Secure the realization of corporate policies;
- Promotes efficiently the image, products and services of the company;
- Develop beneficial cooperation with old and new customers;
- Creates mutually beneficial alliances with local authorities.","- Degree in Business Administration or Technological field;
- Postgraduate degree will be considered as a plus;
- Previous work experience in a relative position (3-5 years);
- Perfect command of English and computers;
- Knowledge of Greek language will be considered a plus;
- Dynamic and ambitious personality;
- Managing and organisational skills; 
- Team spirit",False
Network Administrator,,"- Network monitoring and administration;
- Database administration (MS SQL 2000).","- Excellent knowledge of Windows 2000 Server, Linux platform, Networking
TCP/ IP technologies, MS SQL 2000 Server;
- At least 2 years of experience in the proper field;
- Good knowledge of English.",True
Utopian World Championship 2004,,,,False
Country Economist (NOB),"The United Nations Development Programme in Armenia
announces opening for the position of  Country Economist.","The incumbent under direct supervision of UNDP
Resident Representative will be responsible for the following issues:
regularly track economic data, undertake periodic analyses of economic
and development issues and produce relevant reports aimed at promoting
equitable economic growth and human development; advocate for the
Millennium Development Goals, Human Development and equitable economic
growth by participating in relevant forums, conferences and trainings;
manage the production and launch of economic reports, including White
papers and National Human Development Reports; provide high quality
economic input to all relevant UNDP programmes and projects and ensure
that UNDP programmes are in line with national ""policies and priorities;
provide capacity building support in economic management to public
institutions; assist the efforts of the Government and UNDP to mobilize
resources by preparing documentation for donor and consultative
meetings; facilitate policy dialogue on economic issues with the
Government, private sector, civil society and donors; contribute to
sub-regional, regional and inter-agency initiatives related to
development issues.","- Minimum Masters Degree in Economics;
- Minimum five years relevant experience at the national level. Some
experience in managing development projects and programmes. Extensive
experience in research and policy-level analysis;
- Proven management skills, superior analytical and problem solving
abilities and strong communication and leadership abilities;
- Experience in team management;
- Proficiency in the usage of computers and office software package (MS
Word, Excel, Power Point and advanced programmes for statistical
analysis of data] and competency in the handling of web based management
systems;
- Fluent in English and Armenian. Knowledge of Russian is an asset.",False
Driver/ Logistics Assistant,"Driver/ Logistics Assistant is a full-time national
staff position based in CHAP Yerevan office. Five day work week.","- Maintain CHAP/Armenia pool of vehicles and personal vehicle in working
condition and in a high degree of readiness;
- Operate CHAP/Armenia pool of vehicles and personal vehicle;
- Report about use of CHAP/Armenia and personal vehicles;
- Help maintain the CHAP/Armenia warehouse;
- Help manage all aspects of the project implementation, including
humanitarian assistance customs clearance, unloading, inventorying,
distribution, monitoring, and providing feedback information;
- Carry out spot-checks of recipient organizations for two years after
assistance has been provided as assigned by CHAP/Armenia Country Program
Director;
- Help identify recipients and their needs within the project framework;
- Help professionally answer telephone calls while in the CHAP/Armenia
office;
- Record photographically most effective use of HA items by recipient
organizations;
- Help prepare and submit to CHAP/Armenia Country Program Director
feedback information about use of HA;
- Perform other duties as assigned;
- Report to CHAP/Armenia Country Program Director.","- Possession of personal vehicle, valid driver's license, and proved
5-year driving experience;
- Good communication skills;
- Good organizational skills and diligent attention to details
associated with documenting activities to maintain accurate and complete
job-related records;
- Good knowledge of logistics and working knowledge of transportation
systems.
- Written and spoken proficiency in Armenian, and Russian.
- Computer literacy, including knowledge of and experience with word
processors (MS Word), spreadsheets (Excel), databases (MS Access), and
electronic mail;
- Knowledge of, and ability to work with a variety of governmental and
non-governmental organizations;
- Mobility and desire to travel extensively;
- Willingness to work long or unusual hours/week-ends unexpectedly in
order to receive and distribute humanitarian supplies and to meet
programmatic goals and objectives;
- Willingness and ability to work in a smoke-free environment.
REMUNERATION:  Counterpart International offers competitive salaries and
benefits comparable to standards of international NGO community in
Armenia. Salary is commensurate with experience. Counterpart is an equal
opportunity organization that strives for diversity and employs
qualified personnel without regard to gender, race, physical disability,
religion, or ethnicity.",False
Graphic Designer,"The position of Graphic Designer (GD) demands a
proven, successful experience in the field of ""new media"". The design
and communication concepts that you have created since completing your
studies are proving to be popular.","Graphic Designer will be responsible for every
graphical development of our software and websites; from general user
interface to product packaging including user guide documentation; will
assist the marketing and communication team to develop the corporate
material for the group and its subsidiaries; will also create marketing
presentations for both in-house and client projects.","As a GD you are creative, innovative and have
a great capacity to implement your stylish ideas, open to new trends and
fine arts.
- Extensive knowledge of graphic design and marketing communications
tools is required as well as thorough knowledge of Adobe Photoshop and
Adobe Illustrator and at least 2 years experience working in web and
publishing;
- Enough knowledge of Macromedia Freehand, Fireworks and Dreamweaver and
familiarity with complex web developments, G.U.I. standards, web
editors, animations in 3D is a plus.
- You are reliable, responsible and have excellent communications
skills. 
PREFERRED QUALIFICATIONS: 
- English Essential - verbal/ written / understanding;
- Experience as Graphic Designer in a creative environment is an asset;
- Organized, methodical, ""out of the box"" thinker and goal-oriented;
- Willing to learn new skills.",True
Administrative Assistant,"This is an excellent opportunity for the right person
to join CUTS Centre for International Trade, Economics and Environment,
London. CUTS (Consumer Unity & Trust Society) is a charitable
organisation, with its headquarters in Jaipur, India, working at the
local, national, regional and international levels, and has recently
opened an office in London. The London office will coordinate and manage
research and advocacy work on trade and economic issues and will also
support other offices of CUTS by raising funds, organising events, etc.
The organisation is concerned with the impact of international trade and
economic regime on developing countries and advocates for the poor at
different levels. The position will involve providing support for all
these activities. Applicants must have experience in office
administration.","- Responsible for managing office administration, including accounts,
etc.; 
- To provide administrative support to other staff (set-up and
maintenance of the filing system, organising travel, events, etc);
- Manage office communications (written, electronic and telephonic);
liaison work with funding agencies, CUTS offices in other countries,
other organisations, individuals; dealing with enquiries, etc.;
- To manage general administration, including safety-related issues,
human resources-related issues, etc.;
In addition to responsibilities outlined above, the post will
occasionally entail duties outside the normal working hours, such as
managing events, accompanying visitors, working to meet deadlines, etc.
Flexibility and good humour are essential.","- Fluency in spoken and written English; knowledge of other European
languages will be desirable;
- Wide-ranging administrative skills (knowledge of
accounting/bookkeeping work, knowledge of tax, social security and
accounting maters as per the British law, IT skills, etc);
- Ability to prioritise competing tasks, even under pressure, in a
methodical and systematic manner;
- Experience in working using her/his own initiative as well as working
in a team;
- Excellent inter-personal and communication skills;
- Excellent organising skills, including event organisation;
- An international outlook and interest in developmental issues;
- Comfortable in dealing with high-level dignitaries and working in an
international environment. 
REMUNERATION:  18,000 per annum.",False
Lawyer,,"- Drawing up juridical documents;
- Drawing up contracts; verifying contracts with the effective
legislation;
- Negotiating and settling legal issues with external authorities;
- Assisting company subdivisions with legal issues, including those
concerning industrial property;
- Familiarizing company officials with the normative acts, concerning
their activity;
- Controlling changes and amendments to current legislation.","- University degree in Jurisprudence;
- Experience in the following fields: commercial transactions, sales
contracts, property right;
- Knowledge of tax and labor legislations, laws on trademarks and
economic competition;
- Excellent knowledge of Armenian, Russian and English languages;
- Knowledge of MS Office.
REMUNERATION:  Will be commensurate with the norms accepted in the
company.",False
Marketing Advisor,"The Marketing Advisor will lead the project in
identifying and developing market opportunities, helping to develop
Georgian capacity to structure deals, nurture the commercial skills of
existing entrepreneurs, attract investment partners and facilitate
increased agribusiness activities. The Marketing Advisor will be based
in Tbilisi, Georgia with extensive travel throughout Georgia and the
surrounding region.","- Lead the effort to identify targets of opportunity; primarily
market-based but also taking into consideration Georgia numerous
micro-climate opportunities;
- Formulate and direct the implementation of market research,
investigation and analysis which provides the foundation for
identifying, assessing and developing targets of opportunity;
- Provide the vision for conceptualizing commercial strategies for the
potential targets of opportunity and lead in the formulation of market
chain development strategies;
- Direct the preparation of pre-feasibility and select feasibility level
investigations and drive the process of packaging viable business
opportunities which when implemented will result in successful
commercial transactions and fully functioning market chains;
- Play a key role in identifying strategic partners, both operational
and investment;
- Determine the market related facilitations that are needed to support
the implementation of the packaged business opportunities and deliver
these facilitations; my relate to linking buyers and sellers, direct
involvement in trading and brokerage activities, formulating marketing
strategies, developing branding programs, preparing promotional
materials and programs, etc.;
- Establish and build the capacity of two teams within the Marketing
pillar: 1) Market Identification and Development Team; and, 2)
Agribusiness Planning Team;
- Together with the Processing Advisor, establish a central information
center to house production, processing and marketing related technical
information, as well as business and financial planning and management
resource material; identify and subscribe to appropriate electronic
market information databases;
- Oversee the design and implementation of an appropriate Market
Information Service for the Georgian agribusiness sector;
- Select and facilitate client/ staff participation in appropriate
international trade exhibitions;
- Formulate and execute marketing-related training program for Georgian
agribusinesses and local marketing team;
- Build capacity to structure deals;
- Formulate staff development programs for Marketing Team and take
responsibility for supervision.","- 10+ years of actual commercial marketing experience with fresh and
processed food products; 2+ years of this experience in Russia and other
former Soviet Union states;
- Actual commercial experience in identifying and assessing market
opportunities and in formulating successful marketing and market chain
development strategies;
- Experience in conducting pre-feasibility and feasibility level
investigations, and in business planning;
- Track record in conceptualizing and structuring commercial ideals;
- Extensive network/existing relationships with commercial buyers and
sellers of fresh and processed food products;
- Network of potential strategic partners for commercial agribusiness
ventures;
- Experience in designing/implementing market information type services;
- University degree in marketing, agriculture, business management or
equivalent practical experience;
- High level of English and preferably some Russian;
- Good communication skills and able to work and travel in various
settings;
- Of paramount importance is ability to function as part of a team;
- Good computer skills in Windows, Word, Excel, and in the use of
information management databases.",False
Chief/ Supervisor of Programs Department,"The candidate will work for the promotion and
development of the company's activities. The Supervisor will also work
in close collaboration with special departments and be responsible for
their monitoring. The candidate will supervise and organize programs,
develop work plans and perform other duties project requires.","- Overall management of operation and direction of the department; 
- Manage project staff and subcontractors; 
- Develop and implement work plans; 
- Develop and maintain a strong professional relationship and ensure
accurate documentation of communications and instructions.","- Experience in one or more of the following areas: art design, film
production, TV and/or radio program production is a must;
- Strong project leadership/ management experience with a multi-skilled
team; 
- Work experience with international agencies/companies, at least one
year; 
- Master's degree (MA), Master of Art in Film production (or similar
area) preferred;
- Analytical and organizational skills, strong communication and public
speaking skills;
- Advanced MS Office and Internet user; other computer skills are an
advantage; 
- Bilingual Armenia and Russian, English - fluent, are a must,
additional knowledge of French preferred. 
PREFERRED QUALIFICATIONS:  
- Demonstrated strong personal management and inter-personal skills and
proven ability to train, mobilize and direct staff; 
- Experience in fundamental project management skills around project
planning, project controlling, estimating, staffing and project budget
management;
- Must have solid experience and skills in the technical aspects; 
- Effective management, leadership and team interaction skills,
including the ability to plan and organize work for others, to make
formal and informal presentations, and to communicate effectively at
multiple levels; 
- Must be self-directed and have a track record of meeting project
deadlines; 
- Strong consulting skills as well as previous consulting experience is
preferred.",False
Journalism Trainer,"Media Diversity Institute (MDI) is looking for an
experienced Journalism Trainer from Armenia to participate as a
co-trainer in a three-day workshop for journalists on diversity
reporting.
The training programme has been developed by Media Diversity Institute.
The workshop will focus on the full and objective coverage of both the
majority and minorities - using both international and local examples
and trainers. Workshop sessions, using a mixture of theory and practical
exercises, will focus on the way the media covers diversity issues, and
how it could improve that coverage.
Training will be conducted from February 16 to February 18 in Yerevan.
All the costs related to participation are covered by organizers of the
event.",,"The trainer should have a very strong
background in journalism training and reporting and have a good command
of English.",False
Deputy Program Director,"Project Harmony, an innovative, not-for-profit
professional exchange and training organization with 13 offices across
the US, Armenia, Azerbaijan, Georgia, Russia and Ukraine currently seeks
an experienced, mature professional to fill the position of Deputy
Program Director for the Armenia School Connectivity Program (ASCP), a
program of the Bureau of Educational and Cultural Affairs of the US
Dept. of State administered by Project Harmony. This position is based
in Yerevan, Armenia with extensive regional travel. Fluency in Russian
and/or Armenian is essential. Project Harmony seeks to fill this
position as soon as possible.  Project Harmony is an equal opportunity
employer, which provides its staff opportunities for job growth,
innovation, and creativity.","- Assist the Program Director in all aspects of program management,
including program design, implementation, reporting, promotion and
evaluation;
- Establish and maintain relationships with Armenian and international
working partners; 
- Oversee financial accounting and reporting; 
- Assist Program Director with staff and financial management and
provide direct oversight of 2-3 departments;
- Coordinate with the Public Affairs Section of the US Embassy in
Yerevan; 
- Lead reporting and promotional activities in tandem with fellow DPDs; 
- Communicate regularly with PH management and program advisors in the
US; 
- Travel throughout the region for program implementation and
cross-programming initiatives; 
- Develop program and organizational promotion and publicity; 
- Research opportunities for new/continuing program development in
Armenia.","- Proven leadership and ability to manage a multi-national staff;
- Flexibility and grace under the demands of changing tasks;
- Excellent organizational and accounting skills;
- Cultural sensitivity and willingness to adjust to demanding work
schedule; 
- Ability to work in a team and communicate effectively; 
- Ability to work independently; 
- Experience living and working in Eurasia; 
- Fluency in written and spoken Russian and/or Armenian; 
- Familiarity with Internet infrastructure and telecommunications issues
in the Caucasus a plus; 
- US citizen.
REMUNERATION:  Benefits include salary commensurate with experience,
health insurance, and international travel expenses.",False
Student Forum: Student Conference and Debate Forum (April 17 -,,,,False
Reporting Diversity Workshop for Journalists,"Media Diversity Institute (MDI) is looking for an
experienced journalism trainer from Armenia to participate as a
co-trainer in a three-day workshop for journalists on diversity
reporting.
The workshop, which will be held on 16-18 February in Yerevan will focus
on the full and objective coverage of both the majority and minorities -
using both international and local examples and trainers. Workshop
sessions, using a mixture of theory and practical exercises, will focus
on the way the media covers diversity issues, and how it could improve
that coverage.",,"The trainer should have a very strong
background in journalism training and reporting and have a good command
of English.",False
Reporting Diversity Workshop for Journalists,,,,False
Chief Accountant,"Senior Management Position in Micro-Finance 
SEF International, a growing universal credit organization with an
8-year of experience in Armenia, advertises a position of a Chief
Accountant based in Yerevan. This position will provide leadership in
development and implementation of financial policies in the areas of
budgeting, cash management and forecasting, recordings and
documentation, auditing and financial reporting.",,"- University degree in Finance or Accounting;
- At least 5 years of relevant experience in a micro-finance field; 
- At least 2 years of managing, supervising and training of personnel;
- CBA license for Chief Accountant or Deputy Chief Accountant position; 
- Proven knowledge of Generally Accepted Accounting Principles, and
International and Armenian Accountant Standards; 
- Ability to administer financial and internal control systems;
- Comprehension of data processing concepts and structures; 
- Strategic management of business forecast and analysis, planning and
monitoring of budgets; 
- Familiarity with grant management; 
- Computer literacy and working knowledge of word processor and
spreadsheet applications; 
- Knowledge of Sun Systems and eMerge is preferred; 
- Team building skills, and ability to work with multi-national staff; 
- Willingness to travel to the branches across Armenia; 
- Strong verbal and written communication skills in Armenian, English
and Russian.",False
Consultant (short-term),"International Relief and Development (IRD) Armenia
Branch urgently seeks a qualified individual to fill in a short-term
position of a Consultant to conduct a feasibility study in an
agricultural sector.","Consultant will develop a clear and thorough
understanding of a certain product's local consumption and in future
years consumption in neighboring countries. To do this he/she will
prepare a clear analysis of the national and regional supply and demand
of this and related consumer products. The analysis should answer the
following questions concerning:
- Supply and Demand Situation;
- Economic Analysis of Canning and/or packaging of a new product  in
Armenia;
- Market Introduction and Acceptability Procedures.",,False
"Guard, FSN-2; FP-CC*","Performs guard duties on a regular basis at either a
stationary or working patrol post at/around the Embassy Yerevan New
Office Building. Controls access to avoid unauthorized individuals and
vehicles from entering the construction site and authorized limits as
set by the OBO Site Security Manager. Remains alert to his/her
surroundings for any unusual activity or suspicious behavior.
A copy of the complete position description listing all duties and
responsibilities is available in the Human Resources Office. Contact
number: (3741) 52-46-61",,"NOTE: All applicants are instructed to
address each selection criterion detailed below with specific and
comprehensive information supporting each criteria.
- High school education is required;
- Level II (limited knowledge) in English. Fluency in Armenian and good
working knowledge in Russian is required;
- Knowledge of basic guard and security related procedures and
practices;
- Ability to work calmly and tactfully to resolve problems/ situations
related to security. Ability to remain alert to the surroundings, detect
possible treat and prevent hostile activity from occurring. 
SELECTION PROCESS:   When equally qualified, Eligible Family Members and
U.S. Veterans will be given preference. Therefore, it is essential that
all candidates address the required qualifications above in the
application. 
ADDITIONAL SELECTION CRITERIA: 
1. Management will consider nepotism/ conflict of interest, budget, and
visa status in determining successful candidacy.
2. Current employees serving a probationary period are not eligible to
apply.
3. Currently employed AEFMs who hold a FMA appointment are ineligible to
apply for advertised positions within the first 90 calendar days of
their employment.  
REMUNERATION:  *EFM/MOH/NOR: Position Grade: FP-CC to be confirmed by
Washington
*Ordinarily Resident: Position Grade: FSN-2",False
